leagueId,tier,number
000032b6-3dee-4c3d-8c83-0d0894105084,GOLD,192
00046f43-798f-4f15-a92d-ff9ca64ce178,BRONZE,58
00068eb4-6005-4892-bbe5-09d76b49f424,DIAMOND,199
0006c503-3bf6-4af4-8bb8-e6739a53368b,GOLD,182
00073285-06fb-4e1b-ba78-c41c5f7d14dd,BRONZE,143
000baf43-3636-4760-8bac-ad85833a169f,IRON,27
000df701-bc5d-4148-96e0-6796e66cabf3,SILVER,170
00146d43-921f-4d1c-bd43-49f6273edfca,SILVER,123
001ae329-a047-4f86-bdf4-b16457d172e7,BRONZE,44
001d2708-cbbb-4afb-a4b0-25c0ef7b328a,BRONZE,103
001fd67f-7700-4c66-bebb-f0ca22374713,BRONZE,162
00218e70-d8de-4e5e-9877-b9d4361cbbe6,IRON,48
0024d477-5ab2-441d-b7f3-c214c21ef126,GOLD,196
0025fd64-60ce-4edd-af54-27085069fea0,BRONZE,152
0026d8be-9406-4eb6-aded-df13791be03e,SILVER,82
002c000b-1a69-42ca-a724-3054efb524a4,SILVER,183
002d3382-e599-45b5-9130-fdffb10e476b,SILVER,195
002dea7e-da37-4b6f-9734-620a1d528038,SILVER,196
0033b83b-9bc3-46c1-a64c-3e2af72b7005,GOLD,199
00348e69-df2c-4359-a1bf-45c47524e732,BRONZE,66
00364a1f-022e-46ed-8ea2-09852f819b2f,GOLD,178
00375760-768d-4b1d-b843-04d16c2f6ec7,PLATINUM,189
0039a257-346b-46b2-9e25-e208bf476e23,SILVER,151
003b081a-e3d2-4cd9-b12d-270ba095e605,BRONZE,131
003f0eb9-e259-4a6d-80e5-4bf7504251aa,PLATINUM,200
00417891-662c-444b-9bbb-14c81e01265d,SILVER,87
0047a980-1886-4be6-95cf-4215c5760af0,GOLD,198
004ce9e1-4ae4-45ef-9d2d-1de32a114822,IRON,51
004e6d54-fda5-456b-a969-c0756792bbbf,GOLD,98
004f8f67-f749-4d11-8fa6-f476de75d1bf,BRONZE,66
005675b3-3041-461f-b1db-6a6057408ee0,SILVER,116
00571542-121e-488e-911f-89c4d5610d8c,DIAMOND,200
005bb4f6-9292-4524-a43a-f95d8b24b0e8,SILVER,76
005ea7c1-261a-4bd1-837d-5fbd76ccab85,BRONZE,45
00616c69-778c-4733-b6f8-00d54d508329,GOLD,199
0062961f-ee69-489b-bf9f-79bed011cd0d,PLATINUM,200
0064804b-b2aa-4b04-93f6-cb44e7d1445f,SILVER,97
00648108-a536-4bc7-b7b6-c4b39e5c7954,SILVER,161
006695e4-127b-4746-bfcb-254fb639a2d6,BRONZE,121
006f58de-ca9d-4d33-89ac-deebd1c16ae0,BRONZE,41
0070794d-f132-4ec1-8805-5ac453598cfa,IRON,38
0071d7c8-68b2-4bf1-ba60-a6abb7d95502,BRONZE,141
0073d15d-e39f-4748-87e1-59ba0574872b,BRONZE,57
0073e0ad-4ef6-40d4-b421-2badd8cac880,GOLD,188
0074ddbf-c02c-430b-838b-55e36eb02c0f,PLATINUM,198
0078f015-5f12-4599-94f8-e21e99ce29a7,GOLD,198
007b7b57-c9f0-4987-b2a5-0b0aced63946,BRONZE,118
00807d13-6008-49b2-98ea-5f2e21d5a945,SILVER,114
00863cf0-517a-48e8-8a9d-84b9517bd9d1,BRONZE,69
008cfd5a-1d16-49cd-99a9-49080fa797b3,SILVER,170
008d2645-86bf-4eda-9a27-0911ad5edfae,IRON,18
008e0590-0267-488a-b60d-38e27feb6b52,PLATINUM,243
008f750a-3e92-42bf-9cc7-f0fd9346d1cc,GOLD,186
009381ea-4b0a-485d-892b-a405f4ce00e8,GOLD,193
00954e37-2dfc-4124-8125-39f865fb562f,BRONZE,114
0097065b-ab22-4301-9a8d-9513b927c5a8,GOLD,196
009824c5-e3ba-4422-815d-0302bf8b7637,BRONZE,84
00988d6c-155d-4c69-8b23-ce3b1c085d29,BRONZE,34
009b5ab5-a9e4-4d2a-801a-74fabdee5f72,BRONZE,144
009c0e73-80af-4c63-826d-e1e37d136f08,SILVER,145
009cc5f7-2556-4907-9aa2-cea177a6d998,GOLD,186
00a4179d-776d-492a-bc25-5350d3d38a6f,BRONZE,124
00a68409-6d2b-48fd-8395-52e34d30de97,BRONZE,122
00a93793-8fb2-41a4-b509-3b853e3bd6f6,SILVER,147
00b20fa5-2e49-4c2e-a3d7-80b73d958fe3,SILVER,170
00b3223f-fd12-465e-adea-2f7a0d10d48d,BRONZE,152
00b47301-7c4c-4625-a94a-a5116562dd8b,BRONZE,142
00bca169-cf75-4abf-af2a-8da48d720526,SILVER,202
00c0364a-29be-4b36-b98e-3649a7570060,IRON,30
00c1570c-a706-4b85-8986-01aa5b27ec02,GOLD,198
00c2008c-863e-47bc-b650-b30b74744e57,GOLD,190
00c56069-1221-4078-aa91-9f08007bd352,BRONZE,145
00c8eb94-2567-45ca-a505-92ba93507f6d,GOLD,190
00cb996f-fd94-4b11-aef5-e464fb8f98a5,GOLD,195
00cbfcc4-ed94-4e0a-ae35-5f2d91cb8e2f,GOLD,143
00cc86d2-4035-4fb6-8500-35683dffc44b,SILVER,120
00ce050b-644e-4843-8235-b89b98da03b5,GOLD,126
00cefb59-c66a-4727-9820-296131fa72cc,SILVER,172
00d56625-4227-4bfc-9f82-c17adf71886c,BRONZE,127
00d57747-fd60-4fe4-9dcc-a270e7b152f6,BRONZE,120
00d5db94-ea20-46d0-ab87-0061b28dc4e3,BRONZE,103
00d83c34-8373-44aa-97e7-4578a8680dc5,BRONZE,144
00ddb4a0-e540-4b24-bffc-fb1a679ca5da,IRON,46
00de57b6-edb0-4ea7-9c10-ac50f138ee62,BRONZE,101
00e115a0-f8e3-4c05-91dc-dc900c7f3add,IRON,61
00e3a933-7d63-44b9-948a-422c8c592b9c,SILVER,101
00e4c180-d47a-4faa-b7b8-ffd29338a9ec,SILVER,184
00e701aa-f3b9-41b4-b311-502fbd1c7bd2,BRONZE,124
00e7138b-5a8f-4b07-8e81-c2febfa49398,GOLD,206
00e7b828-ade6-42b5-a6ac-5cf1f5b008fb,IRON,39
00e9a403-e1f7-454a-83dd-c4f10901a7b5,SILVER,191
00f801bb-139f-418d-8aec-712bbf454d6a,GOLD,166
00fb5116-d4ef-4f48-bb4e-35ddf0abd7e1,BRONZE,116
00fb93da-e0ba-4b82-9cc4-b3b49dd4306f,BRONZE,139
01027503-e751-4905-b571-72cb146b744f,SILVER,87
0104024d-fcb2-4176-87c4-71882ede5f52,BRONZE,113
01060065-9522-41e2-95fb-054d2e3365b4,SILVER,139
0106b4ad-5e7a-488f-8d14-62d7e440f9c9,SILVER,195
0106e923-b47d-4c48-8c68-507e97ad4525,SILVER,170
0109a5d7-74c8-4f4f-9c2d-fdfb601b7ba3,BRONZE,53
010d0e3c-b039-4c4c-9659-e8357581c3b0,SILVER,180
010d4810-cb0c-4ee2-a64c-da90b56420fb,GOLD,179
010d71b7-6dea-4fb3-a0cf-0d9e40483fdd,BRONZE,119
010e2650-e938-42f0-9dad-63b7da119dd0,GOLD,186
010ec1d5-ebff-41c8-b131-e3f25d110d90,GOLD,199
0116573d-f070-4767-9cbd-d2799003df6c,IRON,11
0116879a-45b6-46c5-9a5e-efe543c0889c,SILVER,81
01190745-467a-47c6-833e-1e1aff640ecf,BRONZE,73
0119163b-0afa-45f3-ade4-85807d59c6b0,BRONZE,125
011a6dd6-9cb5-4ecc-9407-ae9979eb3a8f,GOLD,184
0122db70-17a8-41a9-a0ab-248fa6173c25,BRONZE,65
01253dd0-238e-4117-b684-2fbf33558348,BRONZE,125
0125b7f6-3a74-466f-9173-a5c3b9f8081a,BRONZE,136
0125eaa0-08d2-4286-bd30-bf4c67491f36,BRONZE,89
01296e35-e133-4f8d-9bb3-4a2a34385f15,SILVER,161
012ba758-7c95-4b06-bcce-c4753faf9e9f,SILVER,193
012ce14a-36f7-488f-8fd7-02a9d55a1a0e,BRONZE,59
012d3dc1-ca7e-4f63-958a-52c37e1df73a,BRONZE,140
012d8315-60cc-4a68-b233-e550112bbfb3,IRON,43
01306827-99c0-4277-bb28-49b8939eb7ed,IRON,19
01348715-4f88-48e9-b448-0c982d51e618,BRONZE,92
0134906e-7fb4-4e58-b2eb-011bc561b14d,BRONZE,62
013547bd-f3de-4b22-ab48-57cabe072eec,BRONZE,24
01377741-4141-441e-a913-081c305dd424,BRONZE,123
013902ce-99a5-4730-a73d-8bd5917cf6d4,GOLD,185
013a101d-a2a4-499e-bfcc-3dadb31d8278,SILVER,190
013d8a6b-861d-40a7-ac29-05611ecd2a4b,GOLD,198
013e62a0-b120-4828-bcd8-50827a24de9a,IRON,45
013ea33c-e7fc-4d9f-9b58-55dc2c26c076,BRONZE,66
013f6b86-00d4-4d8e-b9e3-f4945b44561a,BRONZE,139
0141ef9f-2c3a-488d-b622-f1d8d5310907,IRON,43
0143059b-a80d-41ff-91b5-7b9d789eec05,SILVER,176
014a02cc-e041-4e9f-b805-8273b5dc91e3,GOLD,199
01547383-c1f9-42b6-b264-1ce25c652c4f,GOLD,202
01549c29-0c46-4115-9a6a-65d8b42093bf,PLATINUM,201
01555dd0-fbb5-4390-aa82-9630388c6509,BRONZE,109
015720dc-d052-4d6a-aaa9-760ecfabdff8,BRONZE,128
01592d69-7b6a-4c35-8300-cae88ff44e22,SILVER,185
015cf306-9a20-4b3e-b3d7-b2483f81f7c7,BRONZE,40
015d9fd6-34b6-424d-afc8-7e4b91e3174d,BRONZE,31
0165efb7-6d88-413c-b9cd-4d1f194b3389,SILVER,113
0166be8b-394a-4118-afab-389870c149a5,BRONZE,135
0167589a-faf4-4cf5-b9e2-7d26ca8fd692,GOLD,174
016a8063-5b61-4f09-8086-aed60708408b,BRONZE,113
016de839-c084-43ed-8dbd-c2bdcdd25c05,BRONZE,108
017052e0-0e08-4020-a530-b6c07e302080,SILVER,193
01743b10-2b95-4a99-835f-945d4f84bb4c,GOLD,143
0174a5a8-650f-4ad5-be99-bbf46f9d5378,GOLD,193
017653fe-fd16-4953-8efc-ff71ba38045f,BRONZE,64
0176c6b1-27d5-42f6-b3e0-86dc7a75c695,BRONZE,37
01792535-5ac7-4137-af33-afefc0fab0e2,IRON,11
017bd548-e71e-48c0-988c-c70521bae8e3,BRONZE,153
0182a289-9478-41c5-8b18-1045b60008af,PLATINUM,200
01833bd5-e5b4-45f2-808f-45e6a9769929,SILVER,73
018f059a-9412-4924-b84c-5f355766e9e3,BRONZE,136
0190c5f2-f086-4922-b005-b2774df0b10c,SILVER,188
0199da59-6203-499f-9073-fa070f59b95f,SILVER,194
01a435bd-66ce-43ec-b2ff-b0c644a8f050,GOLD,92
01a4cb1d-e695-4fdd-a617-a6410314c3c6,SILVER,192
01a6583b-913b-4a1f-a44c-2b103b3b8c22,IRON,56
01a6dd0f-52cc-44a0-9aa9-c6f3eeaf7179,SILVER,161
01a7d4d1-a2a9-4d38-a5ef-402b8661cc38,GOLD,174
01b126f4-7038-4a8f-a74b-3dbb43a4cc1f,IRON,25
01b1e70a-d364-4965-8875-80cfe8f0163c,BRONZE,63
